algorithm_id,algorithm_abbr,algorithm_name,algorithm_descrip
1,AE,Absolute Error,Total sum of absolute value of each individual error.
2,MCE,Mean Consequential Error,"Averages consequential error (i.e. if prediction isn't exact, the error is 1, otherwise 0). Only useful when predicting things exactly."
3,Custom,Custom Evaluation Metric,A placeholder that indicates a custom algorithm is required.
4,AUC,Area Under Receiver Operating Characteristic Curve,"Measures discrimination. Calculates how well an algorithm separates true positives from false positives. Overall good metric for classification problems. Has range [0.5, 1.0]"
5,RMSE,Root Mean Squared Error,Square root of the average of the squared errors.
6,CappedBinomialDeviance,Capped Binomial Deviance,A variant Log Likelihood statistic.
7,MAE,Mean Absolute Error,Average of the absolute value of each individual error.
8,RMSLE,Root Mean Squared Logarithmic Error,Square root of the average of the squared natural logarithm (plus one) error. Useful when it's more important to accurately predict lower magnitude values rather than precisely predicting higher magnitude values.
9,NormalizedGini,Normalized Gini Index,Gini value of predicted values divided by Gini of perfect values
10,PercentCorrectVisits,% Correct Visits,Percentage of correctly predicted visits.
11,Gini,Gini Index,Area between the null hypothesis and actual value when ordered by predicted value
12,GestureNormalizedLevenshteinMean,Gesture Normalized Levenshtein Mean,Normalized edit distance for Gesture challenge
13,SMAPE,SMAPE,Symmetric Mean Absolute Percentage Error
14,WeightedMeanQuadraticWeightedKappa,WeightedMeanQuadraticWeightedKappa,Weighted Mean Quadratic Weighted Kappa
15,WMAE,Weighted Mean Absolute Error,Weighted average of the absolute value of each individual error.
16,MulticlassLossOld,Multiclass Loss (Deprecated),"Negative log likelihood divided by the number of observations--solution is true category label (0 to n-1), submission is columns where Jth row is pred. prob. of J. Normalizes submission rows so sum is 1."
17,MAP@3,MAP@3,Mean average precision @ 3 for the top recommended items.
18,KddCtrAuc,,"Measures discrimination. Calculates how well an algorithm separates true positives from false positives. Has range [0.5, 1.0]. Public leaderboard set is subset of private leaderboard set."
19,MAP@k,Mean Average Precision at K,Mean Average Precision at K
20,CategorizationAccuracy,Categorization Accuracy,Percentage of correctly categorized items
21,LogLoss,Log Loss,Log Loss
22,MCAP,MCAP,Mean average precision across columns
23,AverageAmongTopP,AverageAmongTop{P},"Average value of response within top p percentage of observations, by group"
24,MeanFScoreVariant,Mean F-Score Variant,Mean F-Score that accepts non-matching indices
25,BelkinHammingLoss,,
26,WeightedR2,DataSetWeightedRSquared,R-squared averaged over multiple data sets.
27,WRMSE,Weighted Root Mean Squared Error,Square root of the weighted average of the squared errors.
28,DarkWorldsMetric,DarkWorldsMetric,Used for the Observing Dark Worlds competition.
29,NWMAE,Normalized Weighted Mean Absolute Error,Normalized weighted average of the absolute value of each individual error.
30,MWCRMSE,Mean Weighted Columnwise Root Mean Squared Error,Average of the RMSE of each column.
31,NDCG@10,NDCG@10,Normalized Discounted Cumulative Gain at 10 documents
32,TravelingSanta,Traveling Santa Metric,Takes two paths that must have disjoint edges. Returns length of longer.
33,CauseEffectBidirectionalAuc,Bidirectional AUC for Cause Effect Pairs,"Solution should contain -1, 0, or 1. Averages AUC of 1 vs rest and -1 vs rest"
34,MAP@{K}_OLD,,Mean Average Precision at K - prior to 2014
35,MeanFScore,Mean F-Score,"Used for categorization when there are many categories per row, Mean F-score across the rows."
36,NDCG@{K},,Normalized Discounted Cumulative Gain at K documents
37,GE-FQ2,GE Flight Quest 2,GE Flight Quest 2 Simulator / Cost Function
38,FacebookCircles,FacebookCircles,Facebook Circles
39,MacroFScore,Macro F-Score,Macro F-Score
40,PackingSantasSleigh,Packing Santas Sleigh Metric,"Given packing of presents, verfies present integrity and calculates the custom metric."
41,MCAUC,Mean Columnwise Area Under Receiver Operating Characteristic Curve,"Measures discrimination. Calculates how well an algorithm separates true positives from false positives. Overall good metric for classification problems. Has range [0.5, 1.0]"
42,HiggsBosonApproximateMedianSignificance,Higgs Boson Approximate Median Significance,Higgs Boson Approximate Median Significance
43,LevenshteinMean,Levenshtein Mean,Averages the Levenshtein edit distance of strings
44,AP@{K},,Average Precision at K
45,NormalizedWeightedGini,Weighted Gini,Weighted area between the null hypothesis and actual value when ordered by predicted value
46,MCRMSE,Mean Columnwise Root Mean Squared Error,Average of the RMSE of each column.
47,SantaJobScheduling,Packing Santas Sleigh Metric,"Given job schedules, checks constraints and returns the datetime the last toy is complete."
48,QuadraticWeightedKappa,QuadraticWeightedKappa,Quadratic Weighted Kappa
49,CRPS,Continuous Rank Probability Score,Continuous Ranked Probability Score
50,MulticlassLoss,Multiclass Loss,"Negative log likelihood divided by the number of observations--solution is true category label (0 to n-1), submission is columns where Jth row is pred. prob. of J. Normalizes submission rows so sum is 1."
51,AHD@{Type},Averaged Haversine Distance,Averaged Haversine Distance
