competition_id,category_id
2408,1
2435,1
2438,1
2439,1
2442,1
2445,1
2447,1
2448,1
2452,1
2454,1
2464,1
2467,1
2478,1
2479,1
2487,1
2488,1
2489,1
2496,1
2499,1
2509,1
2518,1
2549,1
2551,1
2552,2
2554,2
2555,2
2558,2
2559,2
2564,1
2589,1
2602,1
2606,1
2609,1
2658,2
2667,1
2711,2
2730,2
2732,1
2742,3
2748,1
2749,1
2752,2
2758,4
2762,3
2780,1
2799,3
2831,2
2840,1
2860,3
2863,1
2888,3
2889,1
2895,3
2917,3
2935,4
2947,5
2954,4
2958,3
2959,4
2963,1
2969,1
2975,1
2984,3
3023,5
3043,1
3046,4
3064,3
3065,3
3066,3
3080,3
3084,5
3090,4
3108,1
3112,4
3126,2
3152,2
3154,2
3163,5
3175,3
3193,2
3198,5
3199,6
3209,6
3211,2
3235,2
3238,2
3250,3
3272,2
3273,2
3288,1
3289,3
3294,1
3300,3
3316,1
3321,1
3337,7
3338,1
3342,1
3346,2
3353,1
3354,3
3362,8
3364,3
3366,3
3370,3
3377,3
3384,2
3385,3
3386,3
3403,1
3412,7
3428,7
3438,2
3439,2
3445,1
3446,1
3467,2
3469,1
3471,3
3477,3
3486,7
3493,1
3495,2
3497,2
3504,1
3507,3
3509,3
3517,3
3521,6
3524,3
3526,1
3532,1
3535,8
3539,5
3540,3
3582,2
3586,8
3599,1
3602,2
3611,6
3617,2
3634,3
3638,8
3641,3
3645,3
3649,8
3656,2
3670,1
3706,1
3729,2
3731,2
3756,3
3772,3
3774,3
3785,2
3788,1
3793,6
3800,3
3810,8
3814,2
3816,5
3843,2
3860,2
3861,2
3867,1
3879,2
3887,1
3888,2
3890,2
3891,2
3897,1
3903,2
3913,2
3926,3
3927,8
3928,3
3929,1
3930,2
3933,3
3934,3
3936,8
3940,2
3943,2
3947,7
3948,8
3949,8
3951,1
3953,2
3954,2
3959,2
3960,3
3966,3
3971,7
3973,1
3978,1
3984,1
3987,2
4000,2
4004,2
4024,2
4031,1
4032,8
4037,2
4043,3
4050,2
4054,2
4066,1
4080,2
4104,1
4107,2
4117,3
4120,1
4123,2
4125,2
4128,8
4167,2
4172,2
4174,2
4175,2
4184,2
4193,2
4194,2
4195,3
4209,2
4265,2
4272,1
4278,2
4280,1
4294,5
4315,2
4319,2
4332,5
4353,2
4360,2
4363,2
4366,1
4378,3
4383,3
4400,2
4406,8
4407,1
4413,2
4427,2
4438,1
4441,2
4447,2
4450,2
4451,2
4453,1
4455,2
4456,2
4458,8
4459,8
4466,2
4467,1
4470,2
4471,1
4477,3
4481,1
4485,2
4486,2
4487,1
4488,1
4493,1
4495,3
4504,1
4520,2
4521,3
4526,8
4554,2
4567,2
4568,2
4571,1
4588,5
4594,1
4603,2
4620,2
4650,2
4651,5
4654,5
4657,1
4676,2
4699,1
4704,1
4729,1
4746,2
4751,2
4754,2
4758,2
4770,2
4775,2
4794,2
4813,2
4816,2
4818,2
4821,2
4829,5
4837,2
4852,1
4853,1
4857,2
4860,2
4862,1
4879,2
4899,2
4901,2
4916,2
4938,2
4963,2
4973,2
4982,2
4986,1
4996,2
5001,2
5024,2
5033,2
5039,8
5043,2
5048,1
5056,1
5078,2
5080,2
5081,2
5100,2
5120,2
5127,8
5140,2
5144,1
5145,2
5167,2
5169,2
5171,2
5174,1
5183,2
5185,8
5186,5
5190,2
5200,2
5208,2
5215,2
5229,1
5232,2
5237,2
5255,2
5256,2
5260,1
5261,1
5266,2
5275,2
5286,2
5296,2
5303,2
5313,2
5314,8
5315,2
5320,2
5321,2
5325,5
5340,1
5341,2
5342,2
5343,2
5354,2
5357,1
5360,2
5371,2
5374,2
5385,2
5390,3
5400,2
5404,2
5408,8
5428,2
5441,8
5450,2
5485,2
5488,2
5497,1
5498,2
5499,2
5520,2
5532,2
5534,2
5548,2
5555,2
5558,1
5560,2
5562,2
5563,2
5566,2
5568,1
5579,2
5586,2
5589,2
5590,5
5618,2
5658,2
5674,2
5686,2
5693,8
5697,2
5708,8
5712,2
5719,2
5735,2
5742,2
5743,2
5777,2
5786,2
5812,2
5826,2
5827,2
5833,2
5846,2
5847,2
5860,2
5862,2
5865,2
5871,2
5874,1
5875,2
5881,2
5882,2
5896,2
5901,2
5903,2
5913,2
5915,2
5916,1
5923,2
5926,2
5933,2
5942,2
5977,8
5984,2
5988,2
5994,2
5999,2
6000,2
6003,2
6004,1
6008,2
6011,2
6013,2
6049,1
6067,2
6072,2
6097,2
6098,2
6100,8
6109,2
6116,1
6127,2
6152,2
6163,2
6176,2
6197,2
6207,2
6223,2
6231,2
6232,2
6241,2
6242,2
6243,1
6244,2
6252,2
6270,2
6274,2
6276,2
6277,1
6293,2
6295,2
6300,2
6312,2
6315,2
6322,1
6334,2
6341,2
6356,2
6387,2
6392,1
6404,2
6420,2
6422,2
6438,2
6443,2
6466,2
6467,2
6469,8
6476,2
6482,2
6483,2
6495,2
6513,2
6520,2
6535,2
6538,3
6539,3
6552,2
6565,1
6566,2
6570,2
6592,2
6615,2
6631,2
6644,1
6649,1
6666,2
6682,2
6708,2
6716,2
6727,2
6732,2
6733,2
6734,2
6736,2
6740,2
6747,2
6751,2
6754,2
6759,2
6762,2
6764,2
6766,2
6768,3
6775,1
6776,2
6799,3
6803,2
6818,1
6820,2
6834,2
6839,2
6841,3
6854,2
6864,3
6866,3
6867,3
6910,2
6911,2
6916,2
6920,2
6927,1
6944,2
6953,2
6960,8
6961,8
6963,2
6980,2
6983,2
6986,2
6988,2
7018,2
7042,3
7043,3
7046,2
7047,2
7050,2
7051,2
7057,2
7062,2
7082,1
7100,2
7104,2
7115,1
7126,2
7144,2
7162,3
7163,3
7165,2
7181,2
7187,2
7199,2
7214,2
7219,2
7249,2
7277,1
7283,2
7288,2
7294,2
7296,2
7299,3
7304,2
7305,2
7318,2
7327,8
7328,2
7339,2
7340,2
7362,2
7363,2
7372,2
7378,2
7380,1
7384,2
7391,1
7401,2
7403,2
7407,2
7413,2
7414,2
7417,2
7420,2
7425,2
7431,2
7436,2
7438,2
7442,2
7446,2
7450,2
7453,2
7456,3
7457,2
7463,2
7466,2
7468,2
7478,2
7497,2
7506,2
7516,8
7525,2
7529,2
7540,2
7555,2
7558,2
7559,1
7563,2
7565,2
7572,2
7574,2
7582,2
7592,2
7597,2
7599,2
7633,2
7634,1
7639,2
7654,2
7659,2
7664,2
7666,2
7669,2
7670,2
7682,2
7683,2
7686,2
7689,2
7693,2
7694,2
7697,2
7702,2
7705,2
7710,2
7711,2
7712,2
7713,2
7714,2
7715,2
7741,2
7747,2
7751,2
7752,2
7753,2
7764,2
7778,2
7785,2
7789,2
7795,2
7810,2
7811,2
7814,2
7816,2
7822,2
7823,2
7827,2
7828,2
7833,2
7835,2
7838,2
7843,2
7844,2
7846,2
7847,2
7859,2
7860,2
7864,2
7867,2
7878,1
7880,8
7886,2
7902,2
7904,2
7908,2
7914,2
7918,2
7919,2
7922,2
7925,2
7928,2
7929,2
7930,2
7932,2
7934,2
7936,2
7941,2
7952,2
7955,2
7968,1
7970,2
7979,2
7984,2
7991,2
7993,2
8009,2
8011,1
8027,2
8032,2
8048,2
8049,2
8050,2
8067,2
8069,2
8076,1
8078,1
8086,2
8089,1
8096,2
8098,2
8099,2
8137,2
8142,2
8144,2
8146,2
8149,2
8157,2
8170,2
8172,2
8219,3
8220,3
8222,2
8225,2
8226,2
8227,2
8229,2
8241,2
8243,3
8276,2
8277,2
8287,2
8288,2
8294,2
8303,2
8307,2
8310,1
8311,1
8316,2
8317,2
8365,2
8375,2
8377,2
8392,2
8396,3
8400,2
8409,2
8423,2
8426,8
8445,2
8449,2
8452,2
8461,2
8465,2
8469,2
8475,2
8480,2
8487,2
8497,2
8498,2
8511,2
8512,2
8514,2
8525,2
8538,2
8540,1
8563,2
8564,2
8569,2
8573,2
8578,2
8582,2
8586,1
8590,2
8600,2
8601,2
8606,2
8653,2
8657,2
8658,2
8665,2
8666,2
8672,2
8673,2
8679,2
8689,2
8694,2
8722,2
8731,2
8732,2
8736,2
8743,2
8754,2
8756,2
8758,2
8779,2
8782,2
8792,2
8801,2
8804,2
8811,2
8832,2
8853,2
8855,2
8857,2
8866,2
8885,2
8899,3
8900,3
8906,2
8910,2
8916,2
8933,2
8935,2
8937,2
8943,2
8947,2
8970,2
8991,2
9004,2
9010,2
9014,2
9015,2
9020,2
9023,2
9024,2
9033,2
9051,2
9057,2
9058,2
9075,2
9076,2
9096,2
9102,2
9106,2
9108,2
9113,2
9118,2
9120,1
9121,2
9129,2
9131,2
9133,2
9138,2
9139,2
9140,2
9141,2
9143,2
9144,2
9145,2
9146,2
9149,2
9150,2
9170,2
9181,2
9182,2
9188,2
9196,2
9198,2
9199,2
9209,2
9224,2
9232,2
9254,2
9256,2
9266,2
9284,2
9289,2
9300,2
9301,1
9311,2
9313,2
9318,2
9357,2
9359,2
9372,2
9378,2
9381,2
9388,2
9389,2
9390,2
9404,2
9405,2
9412,2
9422,2
9430,2
9435,2
9453,2
9461,2
9465,2
9473,2
9474,2
9475,2
9491,2
9498,2
9501,2
9511,2
9534,2
9538,2
9547,2
9550,2
9560,2
9568,2
9571,2
9590,2
9618,2
9619,2
9627,2
9664,2
9671,2
9688,2
9690,2
9701,2
9702,2
9703,2
9715,2
9717,1
9721,2
9722,2
9733,2
9741,2
9745,2
9748,2
9759,2
9760,2
9770,2
9792,2
9795,2
9814,2
9816,2
9823,2
9826,2
9827,2
9829,2
9840,8
9857,2
9859,2
9864,2
9876,2
9878,2
9891,2
9902,2
9915,2
9916,2
9917,2
9933,1
9940,2
9946,2
9948,2
9949,1
9951,1
9956,2
9962,2
9971,2
9978,2
9980,2
9982,2
9985,8
9986,2
9988,1
9992,8
9993,1
9994,1
9999,8
10001,2
10006,2
10012,8
10014,8
10025,8
10038,1
10039,2
10046,2
10047,2
10090,2
10093,2
10102,2
10110,2
10111,2
10113,2
10114,2
10117,2
10118,2
10128,2
10129,2
10134,2
10140,2
10141,2
10151,1
10155,2
10156,2
10160,2
10161,2
10166,2
10170,8
10171,2
10172,2
10189,2
10192,2
10194,2
10195,2
10200,1
10208,2
10214,2
10226,2
10228,2
10249,2
10270,2
10281,2
10296,2
10300,8
10306,2
10308,2
10335,8
10338,1
10343,2
10345,2
10356,2
10367,2
10382,2
10384,1
10385,1
10386,3
10389,2
10396,2
10402,2
10408,2
10418,1
10423,2
10445,1
10454,2
10456,2
10474,2
10475,2
10480,2
10483,2
10485,2
10493,2
10507,2
10518,2
10519,2
10523,2
10530,2
10538,2
10540,2
10541,2
10546,2
10547,2
10568,2
10582,2
10588,2
10592,2
10599,2
10604,2
10609,2
10610,2
10622,2
10625,2
10626,2
10633,2
10648,2
10675,2
10683,3
10684,1
10686,1
10690,2
10694,2
10700,3
10721,2
10733,1
10736,2
10737,1
10739,2
10741,2
10747,2
10754,2
10755,2
10756,2
10757,2
10796,2
10823,2
10838,2
10851,2
10854,2
10855,2
10856,2
10857,2
10858,2
10870,2
10874,2
10879,2
10888,2
10903,2
10924,2
10948,2
10955,2
10956,2
10962,2
10971,2
10973,2
10992,2
10994,2
10997,2
11000,3
11029,2
11036,2
11053,2
11055,2
11056,2
11058,2
11059,2
11064,2
11068,2
11070,2
11073,2
11074,2
11079,2
11081,2
11083,2
11094,2
11098,2
11102,2
11109,2
11116,2
11121,2
11132,2
11139,2
11156,2
11161,2
11167,2
11174,2
11185,2
11189,2
11190,2
11201,2
11223,2
11224,2
11225,2
11239,2
11243,2
11244,2
11260,2
11261,2
11264,2
11286,2
11293,2
11295,2
11297,2
11311,2
11317,2
11321,2
11325,2
11332,2
11346,2
11354,2
11355,2
11356,2
11369,2
11372,2
11376,2
11379,2
11383,2
11384,2
11392,2
11401,2
11405,2
11422,2
11433,2
11435,2
11438,2
11451,2
11454,2
11463,2
11466,2
11468,2
11469,2
11473,2
11475,2
11478,2
11487,2
11493,2
11494,2
11498,2
11501,2
11510,2
11532,2
11533,2
11541,2
11542,2
11547,2
11553,2
11554,2
11556,2
11562,2
11570,2
11574,2
11585,2
11587,2
11588,2
11601,2
11614,2
11625,2
11636,2
11643,2
11649,2
11673,2
11674,2
11679,2
11680,2
11681,2
11684,2
11708,2
11712,2
11714,2
11727,2
11738,2
11745,2
11746,2
11748,2
11749,2
11750,2
11754,2
11770,2
11774,2
11782,2
11785,2
11786,2
11787,2
11788,2
11789,2
11790,2
11792,2
11794,2
11802,2
11803,2
11806,2
11835,8
11836,3
11838,3
11842,2
11848,8
11851,2
11880,8
11914,2
11947,2
11951,2
11955,2
11960,2
11972,2
11981,2
11982,2
11988,2
11992,2
11993,2
11994,2
11999,1
12000,1
12007,2
12009,2
12016,2
12018,2
12020,2
12040,2
12048,2
12054,2
12061,2
12065,2
12073,2
12074,2
12078,2
12081,2
12082,2
12083,2
12085,2
12088,2
12089,2
12093,2
12094,2
12098,2
12102,2
12110,2
12112,2
12114,2
12122,2
12133,8
12142,2
12146,2
12152,2
12167,2
12168,2
12171,2
12178,2
12187,2
12208,2
12223,2
12232,2
12233,2
12234,2
12236,2
12245,2
12270,2
12292,2
12305,2
12307,2
12313,2
12327,2
12329,2
12335,2
12343,2
12349,2
12354,2
12357,2
12358,2
12359,2
12363,2
12366,2
12367,2
12371,2
12374,2
12379,2
12386,2
12399,2
12401,2
12417,2
12427,2
12428,2
12432,2
12437,2
12441,2
12442,2
12459,2
12464,2
12483,2
12488,2
12495,2
12496,2
12500,1
12506,2
12512,2
12543,2
12546,2
12552,2
12558,2
12572,2
12573,2
12594,2
12598,2
12611,2
12631,2
12633,2
12649,2
12652,2
12653,2
12654,2
12655,2
12659,2
12666,2
12681,2
12686,2
12705,2
12708,2
12716,3
12717,2
12718,2
12719,2
12720,2
