team_id,team_name,public_leaderboard_rank,private_leaderboard_rank
496,team1,59.0,83.0
497,jonp,41.0,25.0
499,Bwaas,102.0,100.0
500,Thylacoleo,31.0,23.0
501,pjonesdotcda,67.0,80.0
502,jbiggs,64.0,68.0
503,Fontanelles,6.0,31.0
504,IFM_bioinformatics,13.0,9.0
505,Amsterdam,18.0,11.0
506,bearbots,,
507,testingthisisme,42.0,24.0
508,chaos,43.0,3.0
509,Rajstennaj Barrabas,1.0,4.0
510,jtrigg,49.0,35.0
511,xlvector,92.0,89.0
512,Team Ben,32.0,15.0
513,HJMX,14.0,7.0
514,diffbot,74.0,55.0
515,Team Chester,44.0,48.0
516,nfsteam,95.0,76.0
517,SimpleImpl,58.0,49.0
518,TalebDelight,1.0,20.0
519,Memphis_TN,60.0,61.0
522,NoughtBru,20.0,10.0
523,SomeGuyOnTheInternet,17.0,18.0
524,Geno Mick,103.0,84.0
525,Radio,104.0,101.0
526,Sylvain Lamy,2.0,15.0
527,BBC More or Less,3.0,2.0
528,StatoVIC,4.0,7.0
529,Braddon,5.0,13.0
531,NTHU_STAT,6.0,19.0
532,NTHUtop,7.0,17.0
533,TaiwanSong,8.0,3.0
534,lars,9.0,8.0
535,Braddon,77.0,105.0
536,Philip Harslett,10.0,14.0
537,korkmaz_yilmazlar_partal,11.0,18.0
538,HazneciTubur,12.0,16.0
539,Jolie,13.0,11.0
541,tubiko,14.0,21.0
542,Yesilkokcen_Yilmaz,15.0,5.0
543,DEN,16.0,12.0
544,Hug Mi,17.0,10.0
547,Team Usagi,18.0,4.0
548,jtrigg,19.0,6.0
549,emreeylul,20.0,9.0
550,Jure Zbontar,21.0,1.0
551,LuckyGuess,22.0,22.0
552,Dirk Nachbar,37.0,5.0
553,Sock_Cookers,35.0,33.0
554,Coffin,85.0,38.0
555,sprocket,83.0,86.0
556,Jonathan Street,99.0,98.0
560,The_A_Team,86.0,32.0
561,BurningLaptop,61.0,72.0
562,Monsters_Inc,15.0,45.0
563,klafka,100.0,94.0
566,HeinDonner,33.0,26.0
575,iamkarp,28.0,65.0
596,ants,7.0,13.0
605,luked,68.0,79.0
672,bootstrap,38.0,39.0
688,Tus,16.0,27.0
689,Mark Zarb Adami,8.0,12.0
690,hcj,5.0,6.0
691,goodfrie,21.0,43.0
692,pivot,34.0,30.0
693,Noisebridge,78.0,74.0
697,perl,12.0,37.0
700,Poseidon,96.0,106.0
702,moe1,115.0,85.0
703,E_Steawart,75.0,88.0
704,JJP,89.0,85.0
709,DME,81.0,101.0
711,ydai,79.0,93.0
713,JuneSolver,106.0,97.0
714,Dirk Nachbar,55.0,72.0
715,UC Berkeley,99.0,75.0
716,hcj,140.0,126.0
718,RTech,90.0,67.0
719,free,121.0,50.0
724,DME,56.0,52.0
725,[Deleted] #4,39.0,62.0
727,GnohZnutlll,80.0,78.0
728,InflectionPoint,71.0,91.0
729,InflectionPoint,27.0,25.0
731,crossroad,64.0,111.0
732,IEORTools,57.0,97.0
735,Braddon,116.0,82.0
736,The Straightrollers,25.0,24.0
737,chrisbuza,53.0,67.0
741,kebert xela,67.0,65.0
742,leverw,46.0,32.0
743,dermcnor,70.0,71.0
744,fguillem,79.0,73.0
745,user1,100.0,66.0
746,apmid,51.0,70.0
747,trapezoidal,83.0,47.0
748,Kannon,36.0,36.0
749,CybF,98.0,60.0
751,Flying Pig,2.0,2.0
752,Xenon,30.0,40.0
753,Analytics360,16.0,23.0
754,RNASA,84.0,70.0
756,yt2010,10.0,16.0
757,villa_maravilla,45.0,63.0
759,Nikesh,82.0,77.0
760,Barrabas,132.0,113.0
763,SCL,90.0,87.0
765,Cruncher,143.0,136.0
766,IAD,105.0,39.0
767,standard_methods,110.0,104.0
768,Sumecki,9.0,8.0
769,Tristan,101.0,96.0
771,pyk,15.0,14.0
775,Nikesh,85.0,45.0
776,awc,93.0,104.0
777,ABC,46.0,34.0
778,Bodner Mining,120.0,139.0
780,IAD,29.0,69.0
782,mikejs,68.0,120.0
784,Xenon,107.0,110.0
785,overdrive,117.0,124.0
786,Olteanu And Roberts,66.0,49.0
787,LouisDuclosGosselin,23.0,64.0
788,Chris_R,4.0,1.0
789,ABCD,52.0,46.0
792,MonkeyWrenchGang,45.0,80.0
796,bayesTrees,122.0,137.0
799,awc,113.0,133.0
800,JAllen,65.0,50.0
802,CDaly,22.0,17.0
805,Eritema,24.0,41.0
806,Moprhism,134.0,93.0
807,ht2,,
808,cmd,47.0,19.0
809,Fabian,94.0,95.0
810,zachary joyner,72.0,99.0
811,Bodner Mining,25.0,75.0
813,Nonsense,62.0,62.0
819,Swedish Chef,2.0,2.0
820,WillMining,62.0,22.0
821,Les fous du volant,98.0,94.0
822,grandprix,87.0,102.0
825,MultiAlgo,95.0,59.0
827,PedroM,19.0,20.0
835,Agnesios,123.0,132.0
839,BIF,27.0,29.0
842,yarook,105.0,103.0
846,dept. dirigible flightcraft,73.0,58.0
847,Brian,81.0,81.0
849,lrd86,55.0,57.0
850,PedroM,112.0,42.0
851,Stealth,11.0,21.0
852,Prashant215,97.0,90.0
853,Mattgtwk,63.0,44.0
860,Team Cash,133.0,86.0
861,Sooners,103.0,38.0
862,sayani,3.0,28.0
863,statovic,48.0,42.0
865,odranipse,50.0,59.0
866,test1_W_P,57.0,56.0
867,junpink,26.0,14.0
870,lotusjin,40.0,51.0
871,zynxia,51.0,53.0
872,W_P,76.0,66.0
873,[Deleted] 76bce00e-5e5d-4a5b-a58a-88a469165065,88.0,92.0
874,MaryamNazarieh,107.0,107.0
875,Deepak Vivek,66.0,54.0
876,image_doctor,54.0,47.0
877,sali mali,4.0,3.0
878,bio ML,69.0,71.0
879,Arunagu,91.0,73.0
880,testwp,70.0,82.0
882,the_kasparov_of_stats,223.0,212.0
883,Fabien,73.0,57.0
884,mjahrer,77.0,63.0
885,Dirk Nachbar,100.0,99.0
886,hcj,187.0,189.0
887,Tom,195.0,178.0
888,ulvund,9.0,8.0
889,whiteknight,117.0,117.0
890,merc,203.0,204.0
891,Will,179.0,182.0
892,Troae,93.0,100.0
893,Chris_R,75.0,121.0
894,Elo Benchmark,123.0,137.0
895,EdR,90.0,65.0
896,bobs_team,174.0,167.0
897,sayani,146.0,150.0
898,RepRep,240.0,241.0
899,leecbaker,133.0,140.0
900,skgl,212.0,214.0
901,naivest,68.0,50.0
902,The Wild Bugs,173.0,164.0
903,FirstTry,163.0,160.0
904,levi,57.0,66.0
905,Dave Mullen,132.0,124.0
906,MattieShoes,66.0,49.0
907,dod_moshe_1st,102.0,98.0
908,Ethan,91.0,85.0
909,The Sandbag,176.0,177.0
910,jadoube,198.0,198.0
911,PRESS_BUTTON,206.0,209.0
912,awc,160.0,146.0
913,Per,37.0,23.0
914,Diogo,10.0,4.0
915,PedroM,104.0,102.0
916,mediocrity,126.0,129.0
917,BrainTrader,111.0,116.0
918,Sampson,92.0,87.0
919,Skills,250.0,250.0
920,Informatics Anteaters,151.0,173.0
921,Team FL,224.0,213.0
922,BlackAdder,226.0,195.0
923,Ben Smith,46.0,39.0
924,Jasonb,11.0,17.0
925,10115,80.0,83.0
926,Ham Sandwich,106.0,104.0
927,Narad,82.0,40.0
928,elife,86.0,55.0
929,ChessMaster,12.0,25.0
930,See No Evil,205.0,208.0
931,chloris,142.0,133.0
932,shakey,194.0,193.0
933,tigertail,10.0,9.0
934,arek,73.0,53.0
935,Outis,26.0,1.0
936,Fisching for Data,136.0,123.0
937,mjahrer,113.0,135.0
938,hugo,95.0,108.0
939,DME,186.0,186.0
940,Intuition,41.0,29.0
941,try,239.0,239.0
942,Old Dogs With New Tricks,3.0,9.0
943,Perpetual Check,39.0,35.0
944,dabbler,103.0,86.0
945,ivo,87.0,109.0
946,andersen,200.0,202.0
947,PunyPetunias,8.0,15.0
948,_SK_,25.0,18.0
949,Pin the tail on the donkey,229.0,230.0
950,Game,196.0,200.0
951,Naive Baseline,35.0,32.0
952,Parkville,118.0,88.0
953,layman,251.0,251.0
954,jumper,104.0,105.0
955,closer,40.0,77.0
956,pivot,112.0,118.0
957,leecbaker,1.0,1.0
958,yt2010,190.0,176.0
959,chandv,35.0,44.0
960,Dirk Nachbar,21.0,41.0
961,Richard Pasquier,40.0,35.0
962,image_doctor,227.0,227.0
963,Team Shasta,20.0,13.0
964,Plumbium,161.0,157.0
965,justme,36.0,39.0
966,H. Solo,27.0,30.0
967,example only,141.0,127.0
968,En Passant,34.0,21.0
969,Theta Benchmark,26.0,18.0
970,chaos,28.0,92.0
971,Gilles,72.0,130.0
972,F1GP,97.0,80.0
973,dtk,252.0,252.0
974,FoolsMate,63.0,63.0
975,js81,32.0,59.0
976,Bernardino,7.0,19.0
977,ragozin,45.0,44.0
978,Gir,109.0,100.0
979,Tyango,188.0,187.0
980,hackerdojo,26.0,20.0
981,sheep and tea,242.0,242.0
982,Harkonen,60.0,93.0
983,Kdub,207.0,197.0
984,Botsphere,120.0,115.0
985,blackNwhite,107.0,79.0
986,Jayant,167.0,154.0
987,ColinGreen,23.0,12.0
988,JohnL,5.0,22.0
989,KISS,238.0,238.0
990,msdtt,115.0,106.0
991,lynn,56.0,87.0
992,H. Solo,18.0,15.0
993,tyrcho,114.0,110.0
994,UriB,2.0,6.0
995,redeploy,215.0,217.0
996,dah,131.0,125.0
997,pico,234.0,234.0
998,SamuelDoe,78.0,71.0
999,Wesley Burr,,
1000,Sumecki,98.0,114.0
